Round,Date,Team 1,Score 1,Result,Score 2,Team 2,Result Details,Time,Location
Round 1,"Round 1
Sunday, 01 October 2023
Razorbacks
63
FINAL
Moonee Ponds
82
Moonee Ponds won by 19 points
06:10 PM, Sun, 01 Oct 23
Melbourne Sports and Aquatic Centre / Court 7
Team X
77
FINAL
Breakaway
77
Draw
07:15 PM, Sun, 01 Oct 23
Melbourne Sports and Aquatic Centre / Court 7
Melbourne Uni Wolves
79
FINAL
Maccabi
63
Melbourne Uni Wolves won by 16 points
08:20 PM, Sun, 01 Oct 23
Melbourne Sports and Aquatic Centre / Court 7
Bye
JETZ"
Round 2,"Round 2
Sunday, 08 October 2023
JETZ
66
FINAL
Team X
79
Team X won by 13 points
06:10 PM, Sun, 08 Oct 23
Melbourne Sports and Aquatic Centre / Court 7
Moonee Ponds
75
FINAL
Melbourne Uni Wolves
111
Melbourne Uni Wolves won by 36 points
07:15 PM, Sun, 08 Oct 23
Melbourne Sports and Aquatic Centre / Court 7
Breakaway
80
FINAL
Maccabi
80
Draw
08:20 PM, Sun, 08 Oct 23
Melbourne Sports and Aquatic Centre / Court 7
Bye
Razorbacks"
Round 3,"Round 3
Sunday, 15 October 2023
Melbourne Uni Wolves
84
FINAL
Razorbacks
66
Melbourne Uni Wolves won by 18 points
06:10 PM, Sun, 15 Oct 23
Melbourne Sports and Aquatic Centre / Court 7
Maccabi
56
FINAL
JETZ
56
Draw
07:15 PM, Sun, 15 Oct 23
Melbourne Sports and Aquatic Centre / Court 7
Breakaway
65
FINAL
Moonee Ponds
51
Breakaway won by 14 points
08:20 PM, Sun, 15 Oct 23
Melbourne Sports and Aquatic Centre / Court 7
Bye
Team X"
Round 4,"Round 4
Sunday, 22 October 2023
Maccabi
65
FINAL
Melbourne Uni Wolves
76
Melbourne Uni Wolves won by 11 points
06:10 PM, Sun, 22 Oct 23
Melbourne Sports and Aquatic Centre / Court 7
ZZ- GoldBackz
20
FINAL
Razorbacks
Forfeit
0
ZZ- GoldBackz won by forfeit
07:15 PM, Sun, 22 Oct 23
Melbourne Sports and Aquatic Centre / Court 7
Breakaway
95
FINAL
Team X
87
Breakaway won by 8 points
08:20 PM, Sun, 22 Oct 23
Melbourne Sports and Aquatic Centre / Court 7
JETZ
59
FINAL
Moonee Ponds
71
Moonee Ponds won by 12 points
09:25 PM, Sun, 22 Oct 23
Melbourne Sports and Aquatic Centre / Court 7"
Round 5,"Round 5
Sunday, 29 October 2023
Razorbacks
81
FINAL
Breakaway
88
Breakaway won by 7 points
06:10 PM, Sun, 29 Oct 23
Melbourne Sports and Aquatic Centre / Court 7
Team X
84
FINAL
Maccabi
67
Team X won by 17 points
07:15 PM, Sun, 29 Oct 23
Melbourne Sports and Aquatic Centre / Court 7
Moonee Ponds
77
FINAL
Melbourne Uni Wolves
107
Melbourne Uni Wolves won by 30 points
08:20 PM, Sun, 29 Oct 23
Melbourne Sports and Aquatic Centre / Court 7
JETZ
69
FINAL
ZZ- GoldBackz
75
ZZ- GoldBackz won by 6 points
09:25 PM, Sun, 29 Oct 23
Melbourne Sports and Aquatic Centre / Court 7"
Round 6,"Round 6
Sunday, 05 November 2023
Breakaway
87
FINAL
JETZ
77
Breakaway won by 10 points
06:10 PM, Sun, 05 Nov 23
Melbourne Sports and Aquatic Centre / Court 7
ZZ- GoldBackz
60
FINAL
Moonee Ponds
60
Draw
07:15 PM, Sun, 05 Nov 23
Melbourne Sports and Aquatic Centre / Court 7
Maccabi
72
FINAL
Razorbacks
82
Razorbacks won by 10 points
08:20 PM, Sun, 05 Nov 23
Melbourne Sports and Aquatic Centre / Court 7
Melbourne Uni Wolves
119
FINAL
Team X
71
Melbourne Uni Wolves won by 48 points
09:25 PM, Sun, 05 Nov 23
Melbourne Sports and Aquatic Centre / Court 7"
Round 7,"Round 7
Sunday, 12 November 2023
Moonee Ponds
54
FINAL
Team X
64
Team X won by 10 points
06:10 PM, Sun, 12 Nov 23
Melbourne Sports and Aquatic Centre / Court 7
Razorbacks
67
FINAL
Melbourne Uni Wolves
105
Melbourne Uni Wolves won by 38 points
07:15 PM, Sun, 12 Nov 23
Melbourne Sports and Aquatic Centre / Court 7
JETZ
70
FINAL
Maccabi
69
JETZ won by 1 point
08:20 PM, Sun, 12 Nov 23
Melbourne Sports and Aquatic Centre / Court 7
ZZ- GoldBackz
Forfeit
0
FINAL
Breakaway
20
Breakaway won by forfeit
09:25 PM, Sun, 12 Nov 23
Melbourne Sports and Aquatic Centre / Court 7"
Round 8,"Round 8
Sunday, 19 November 2023
ZZ- GoldBackz
86
FINAL
Maccabi
65
ZZ- GoldBackz won by 21 points
06:10 PM, Sun, 19 Nov 23
Melbourne Sports and Aquatic Centre / Court 7
Breakaway
55
FINAL
Moonee Ponds
66
Moonee Ponds won by 11 points
07:15 PM, Sun, 19 Nov 23
Melbourne Sports and Aquatic Centre / Court 7
JETZ
79
FINAL
Melbourne Uni Wolves
100
Melbourne Uni Wolves won by 21 points
08:20 PM, Sun, 19 Nov 23
Melbourne Sports and Aquatic Centre / Court 7
Razorbacks
52
FINAL
Team X
57
Team X won by 5 points
09:25 PM, Sun, 19 Nov 23
Melbourne Sports and Aquatic Centre / Court 7"
Round 9,"Round 9
Sunday, 26 November 2023
Melbourne Uni Wolves
20
FINAL
ZZ- GoldBackz
Forfeit
0
Melbourne Uni Wolves won by forfeit
06:10 PM, Sun, 26 Nov 23
Melbourne Sports and Aquatic Centre / Court 7
Team X
98
FINAL
JETZ
93
Team X won by 5 points
07:15 PM, Sun, 26 Nov 23
Melbourne Sports and Aquatic Centre / Court 7
Moonee Ponds
60
FINAL
Razorbacks
72
Razorbacks won by 12 points
08:20 PM, Sun, 26 Nov 23
Melbourne Sports and Aquatic Centre / Court 7
Maccabi
78
FINAL
Breakaway
77
Maccabi won by 1 point
09:25 PM, Sun, 26 Nov 23
Melbourne Sports and Aquatic Centre / Court 7"
Round 10,"Round 10
Sunday, 03 December 2023
JETZ
84
FINAL
Razorbacks
77
JETZ won by 7 points
06:10 PM, Sun, 03 Dec 23
Melbourne Sports and Aquatic Centre / Court 7
Breakaway
68
FINAL
Melbourne Uni Wolves
79
Melbourne Uni Wolves won by 11 points
07:15 PM, Sun, 03 Dec 23
Melbourne Sports and Aquatic Centre / Court 7
ZZ- GoldBackz
67
FINAL
Team X
98
Team X won by 31 points
08:20 PM, Sun, 03 Dec 23
Melbourne Sports and Aquatic Centre / Court 7
Maccabi
49
FINAL
Moonee Ponds
63
Moonee Ponds won by 14 points
09:25 PM, Sun, 03 Dec 23
Melbourne Sports and Aquatic Centre / Court 7"
